lat,lon
37.48602544141929,-121.9308646809535
37.48602272728795,-121.93086364099175
37.486020011275876,-121.93086260056839
37.486017293705174,-121.93086155957894
37.48601457483311,-121.93086051787103
37.48601164153065,-121.93085939639043
37.48600891923793,-121.9308583524943
37.48600619509941,-121.93085730717186
37.486003469021774,-121.93085626055786
37.486000740985176,-121.93085521318787
37.48599773593797,-121.93085406632838
37.48599500327178,-121.93085301812006
37.48599226849021,-121.93085196938193
37.48598953155188,-121.93085092000419
37.48598679230124,-121.93084986993841
37.48623143030222,-121.93094419096364
37.48622901825016,-121.93094326714933
37.48622660383038,-121.93094234243117
37.486224186989,-121.93094141663302
37.48622178861389,-121.93094049766214
37.486219496157965,-121.93093964765927
37.48621707240135,-121.93093871905536
37.48621464667152,-121.9309377898154
37.486212219442784,-121.93093686068727
37.48620979095998,-121.9309359325019
37.4862074728724,-121.93093506978812
37.48620504242366,-121.93093414189843
37.48620261074868,-121.93093321278076
37.486200176993975,-121.93093228206975
37.48619774028921,-121.93093134919509
37.48619537587684,-121.93093046952548
37.48619293399366,-121.93092953321404
37.486190490434076,-121.9309285963561
37.48618804479976,-121.93092765901238
37.48618559675528,-121.93092672065909
37.48618301492796,-121.93092573303785
37.486180561956516,-121.93092479214194
37.48617810657115,-121.9309238509837
37.48617564858632,-121.93092291021608
37.48617318810941,-121.9309219698417
37.48617024448606,-121.93092084199864
37.48616777904954,-121.93091990027806
37.48616531169014,-121.93091895724781
37.486162842718876,-121.93091801267511
37.48616037235105,-121.93091706717055
37.48615753684247,-121.93091598364265
37.48615506244955,-121.93091503809579
37.486152586070034,-121.93091409234768
37.48615010770356,-121.93091314592888
37.4861476277079,-121.93091219866336
37.48614495383946,-121.93091118782186
37.48614247205496,-121.93091023767022
37.48613998961247,-121.93090928601589
37.48613750599732,-121.93090833395541
37.48613502082356,-121.93090738231692
37.486132294252904,-121.9309063421002
37.48612980468859,-121.93090539027982
37.48612731285115,-121.93090443613934
37.48612481844939,-121.9309034787375
37.48612232125076,-121.93090251908808
37.48611957703321,-121.93090145167893
37.4861170739866,-121.9309004925425
37.48611456842653,-121.9308995340054
37.486112060437286,-121.93089857474835
37.4861095500277,-121.93089761373132
37.486106927528816,-121.93089661366704
37.48610441163615,-121.93089564964814
37.48610189257569,-121.93089468576089
37.48609939162658,-121.93089373050168
37.48609686585962,-121.93089276666556
37.4860940623826,-121.93089171557813
37.48609153070603,-121.9308907492116
37.4860889968086,-121.9308897820672
37.48608646076535,-121.93088881462516
37.48608392239963,-121.9308878468972
37.48608129246121,-121.93088685348438
37.48607874861868,-121.93088588481952
37.486076202015546,-121.93088491519049
37.48607365273774,-121.93088394440042
37.48607110082885,-121.9308829722001
37.48606823800581,-121.93088186426968
37.4860656802017,-121.93088088884048
37.4860631197417,-121.93087991250245
37.48606055676692,-121.93087893561106
37.486057991409425,-121.93087795820433
37.48605503946953,-121.93087683219196
37.48605246871196,-121.93087585294033
37.48604989527351,-121.93087487282753
37.486047319010325,-121.93087389200483
37.486044739853185,-121.93087291054253
37.48604215765386,-121.93087192834776
37.486039201855185,-121.93087080099143
37.4860366121405,-121.9308698170188
37.48603401833182,-121.93086883230788
37.486031420303284,-121.93086784666097
37.486028817948615,-121.93086685949525
37.486025796445794,-121.93086571073928
37.486023184567976,-121.93086471887226
37.48602056789675,-121.93086372493126
37.48601794626134,-121.93086272935577
37.4860148273416,-121.93086154192689
37.48601219448048,-121.93086054378296
37.48600955615255,-121.93085954477004
37.486006912634686,-121.93085854459954
37.48600426431545,-121.93085754309728
37.48600107827585,-121.93085633060929
37.48599841943451,-121.93085532698954
37.48599575553562,-121.93085432302514
37.485993086660386,-121.93085331844023
37.48599041302962,-121.93085231220307
37.48598721118712,-121.93085110673833
37.485984528722234,-121.93085009399702
37.48598184199806,-121.93084907804074
37.48597915077162,-121.93084805987246
37.485976454798376,-121.93084704020679
37.485973185149774,-121.93084579448829
37.48597047887856,-121.93084477079817
37.485967767878805,-121.9308437442472
37.48596505225241,-121.93084271410339
37.48596235489822,-121.93084168873663
37.48595962950348,-121.93084065118319
37.486151607461004,-121.93091372687246
37.48614919636618,-121.93091280761598
37.48614678136506,-121.93091188553153
37.48614436280823,-121.93091096097346
37.48614194110029,-121.93091003360867
37.48632196519644,-121.93097924153435
37.486319839667274,-121.93097842041253
37.48631771064445,-121.93097759555125
37.48631557755202,-121.93097676905832
37.486313440159215,-121.93097594214117
37.486512401641775,-121.93105283559015
37.48651052882552,-121.93105211138456
37.48650865326798,-121.93105138487718
37.486506774801384,-121.9310506552134
37.48650489354319,-121.93104992263117
37.48650177880249,-121.93104872256293
37.486686686303855,-121.93111939071308
37.48668503437232,-121.9311187491812
37.486683380345454,-121.93111810617147
37.487196628121545,-121.93131388166479
37.48728216394904,-121.93134719663713
37.48728152594723,-121.93134691407832
37.48728088711489,-121.93134662906131
37.487280247465094,-121.93134634182643
37.487470322129276,-121.93141576909964
37.487470033365845,-121.93141560232553
37.48754314328844,-121.93144254388294
37.48754289743261,-121.93144239894008
37.48754265106861,-121.93144225338028
37.48756869583805,-121.93145097022332
37.48766192991306,-121.93148748288202
37.48766176109752,-121.93148736760207
37.48766159410957,-121.9314872524167
37.487661428189966,-121.93148713790907
37.487661262191175,-121.93148702253342
37.48773850877935,-121.93151676508516
37.48773836753114,-121.93151665670675
37.48773822763303,-121.93151654558956
37.48773808890408,-121.93151643287412
37.48773795058063,-121.93151632014663
